profession_id,lifestyle_profile_node_id,avg_weekly_hours_band,avg_weekly_hours_estimate,schedule_type,boundary_quality,predictability,ai_exposure,geographic_concentration,physical_intensity,remote_friendliness,weekend_work_likelihood,night_work_likelihood,heuristic_flag,source,notes,time_pressure_score,contact_with_others_score,email_score,face_to_face_score,sitting_score,standing_score,walking_score,regular_schedule_pct,irregular_schedule_pct,seasonal_schedule_pct,required_education_distribution_json,related_experience_distribution_json,on_job_training_distribution_json
software_developer,lifestyle:software_developer,40_50,43,normal,moderate,medium,medium,regional,low,high,low,low,mixed,bls_ooh_2026;onet_30_2,"More than 1 in 4 worked more than 40 hours per week in 2024. Strong upside, but deadline cycles can bleed into evenings.",3.5,3.88,4.5,3.0,4.95,1.47,1.29,98.43,1.57,0.0,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 84.8}, {""category"": ""5"", ""label"": ""Associate's Degree (or other 2-year degree)"", ""value"": 5.07}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 4.52}, {""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 3.13}]","[{""category"": ""9"", ""label"": ""Over 6 years, up to and including 8 years"", ""value"": 43.91}, {""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 15.04}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 11.13}]","[{""category"": ""4"", ""label"": ""Over 3 months, up to and including 6 months"", ""value"": 24.81}, {""category"": ""2"", ""label"": ""Anything beyond short demonstration, up to and including 1 month"", ""value"": 17.91}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 15.83}]"
information_security_analyst,lifestyle:information_security_analyst,40_50,44,normal,moderate,medium,medium,regional,low,medium,low,low,mixed,bls_ooh_2026;onet_30_2,"Most work full time, and some work more than 40 hours per week. High upside with lower substitution risk than many generic analyst roles, but often tied to technical competence and ongoing learning.",3.6,4.32,4.96,4.47,4.23,2.3,1.99,89.88,10.12,0.0,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 52.64}, {""category"": ""7"", ""label"": ""Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master."", ""value"": 22.52}, {""category"": ""5"", ""label"": ""Associate's Degree (or other 2-year degree)"", ""value"": 12.87}, {""category"": ""3"", ""label"": ""Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)"", ""value"": 7.16}]","[{""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 24.07}, {""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 21.46}, {""category"": ""10"", ""label"": ""Over 8 years, up to and including 10 years"", ""value"": 17.7}]","[{""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 27.36}, {""category"": ""3"", ""label"": ""Over 1 month, up to and including 3 months"", ""value"": 23.4}, {""category"": ""4"", ""label"": ""Over 3 months, up to and including 6 months"", ""value"": 13.39}]"
data_scientist,lifestyle:data_scientist,40_50,42,normal,moderate,medium,medium,regional,low,high,low,low,mixed,bls_ooh_2026;onet_30_2,Most work full time. High-demand analytical path with strong upside and some AI resilience because it often involves building or governing AI systems.,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[]
computer_systems_analyst,lifestyle:computer_systems_analyst,40_50,43,normal,strong,high,high,regional,low,high,low,low,mixed,bls_ooh_2026;onet_30_2,"Most work full time, and some work more than 40 hours per week. Predictable office pattern for many roles, but a lot of task structure is AI-sensitive.",4.17,4.49,5.0,4.21,4.18,2.38,2.21,99.57,0.43,0.0,"[{""category"": ""5"", ""label"": ""Associate's Degree (or other 2-year degree)"", ""value"": 50.71}, {""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 41.93}, {""category"": ""4"", ""label"": ""Some College Courses"", ""value"": 4.62}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 1.42}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 30.81}, {""category"": ""4"", ""label"": ""Over 3 months, up to and including 6 months"", ""value"": 28.37}, {""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 27.0}]","[{""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 29.84}, {""category"": ""3"", ""label"": ""Over 1 month, up to and including 3 months"", ""value"": 23.89}, {""category"": ""4"", ""label"": ""Over 3 months, up to and including 6 months"", ""value"": 17.83}]"
registered_nurse,lifestyle:registered_nurse,40_50,40,shift,moderate,medium,low,local_anywhere,medium,low,high,high,mixed,bls_ooh_2026;onet_30_2,"Facilities that provide 24-hour care may require rotating shifts, weekends, and on-call time. Very durable and geographically flexible, but often costs nights, weekends, or holiday control.",3.99,4.89,4.31,4.94,2.93,3.01,3.17,87.26,12.74,0.0,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 55.92}, {""category"": ""3"", ""label"": ""Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)"", ""value"": 22.5}, {""category"": ""5"", ""label"": ""Associate's Degree (or other 2-year degree)"", ""value"": 19.39}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 1.43}]","[{""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 34.47}, {""category"": ""1"", ""label"": ""None"", ""value"": 19.43}, {""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 13.41}]","[{""category"": ""4"", ""label"": ""Over 3 months, up to and including 6 months"", ""value"": 34.4}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 19.99}, {""category"": ""2"", ""label"": ""Anything beyond short demonstration, up to and including 1 month"", ""value"": 16.94}]"
medical_health_services_manager,lifestyle:medical_health_services_manager,40_50,45,normal,moderate,medium,medium,regional,low,medium,low,low,mixed,bls_ooh_2026;onet_30_2,"Most work full time, and some work more than 40 hours per week. Strong upside in healthcare without clinical training, but many roles want prior industry experience and organizational pressure can be high.",3.93,4.82,5.0,4.61,4.25,2.25,1.96,89.29,7.14,3.57,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 46.43}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 21.43}, {""category"": ""5"", ""label"": ""Associate's Degree (or other 2-year degree)"", ""value"": 10.71}, {""category"": ""3"", ""label"": ""Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)"", ""value"": 7.14}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 37.04}, {""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 25.93}, {""category"": ""10"", ""label"": ""Over 8 years, up to and including 10 years"", ""value"": 11.11}]","[{""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 33.33}, {""category"": ""2"", ""label"": ""Anything beyond short demonstration, up to and including 1 month"", ""value"": 18.52}, {""category"": ""3"", ""label"": ""Over 1 month, up to and including 3 months"", ""value"": 14.81}]"
high_school_teacher,lifestyle:high_school_teacher,40_50,45,normal,moderate,high,low,local_anywhere,low,low,low,low,mixed,bls_ooh_2026;onet_30_2,"Most work full time during the school year. Calendar rhythm is predictable, but prep and grading can spill beyond the school day.",3.28,4.78,4.96,4.73,3.0,3.28,2.58,91.54,0.43,8.02,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 76.97}, {""category"": ""7"", ""label"": ""Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master."", ""value"": 7.76}, {""category"": ""9"", ""label"": ""Post-Master's Certificate - awarded for completion of an organized program of study; designed for people who have completed a Master's degree but do not meet the requirements of academic degrees at the doctoral level."", ""value"": 7.76}, {""category"": ""5"", ""label"": ""Associate's Degree (or other 2-year degree)"", ""value"": 3.99}]","[{""category"": ""1"", ""label"": ""None"", ""value"": 50.24}, {""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 10.43}, {""category"": ""4"", ""label"": ""Over 3 months, up to and including 6 months"", ""value"": 10.15}]","[{""category"": ""3"", ""label"": ""Over 1 month, up to and including 3 months"", ""value"": 38.33}, {""category"": ""1"", ""label"": ""None or short demonstration"", ""value"": 23.16}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 18.05}]"
accountant,lifestyle:accountant,40_50,45,normal,moderate,high,high,regional,low,medium,low,low,mixed,bls_ooh_2026;onet_30_2,"Most work full time, and longer hours are common at certain times of the year. Stable and structured, but repetitive knowledge work faces meaningful AI pressure.",4.19,4.55,4.98,4.7,4.5,1.8,1.56,0.0,0.0,0.0,[],[],[]
financial_analyst,lifestyle:financial_analyst,40_50,48,extended,weak,medium,high,major_hub_dependent,low,medium,low,low,mixed,bls_ooh_2026;onet_30_2,"Most work full time, and some work more than 40 hours per week. Good upside, but higher-end finance paths often pull people toward major hubs and weaker boundaries.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[]
management_analyst,lifestyle:management_analyst,40_50,48,extended,weak,low,high,major_hub_dependent,low,medium,medium,low,mixed,bls_ooh_2026;onet_30_2,"Most management analysts work full time and overtime is common. Strong earnings and mobility, but travel and client demands often eat into evenings.",4.0,4.25,5.0,4.74,4.19,1.95,1.9,61.9,38.1,0.0,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 57.14}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 23.81}, {""category"": ""4"", ""label"": ""Some College Courses"", ""value"": 9.52}, {""category"": ""7"", ""label"": ""Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master."", ""value"": 9.52}]","[{""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 45.0}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 20.0}, {""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 15.0}]","[{""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 35.0}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 25.0}, {""category"": ""3"", ""label"": ""Over 1 month, up to and including 3 months"", ""value"": 20.0}]"
market_research_analyst,lifestyle:market_research_analyst,40_50,42,normal,strong,high,high,regional,low,high,low,low,mixed,bls_ooh_2026;onet_30_2,"Most market research analysts work full time during regular business hours. Better hours than finance or consulting, but work is highly exposed to analytics automation and AI tooling.",4.04,4.22,5.0,4.22,4.65,1.87,1.35,65.22,34.78,0.0,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 56.52}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 39.13}, {""category"": ""7"", ""label"": ""Post-Baccalaureate Certificate - awarded for completion of an organized program of study; designed for people who have completed a Baccalaureate degree but do not meet the requirements of academic degrees carrying the title of Master."", ""value"": 4.35}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 0.0}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 34.78}, {""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 26.09}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 17.39}]","[{""category"": ""3"", ""label"": ""Over 1 month, up to and including 3 months"", ""value"": 21.74}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 21.74}, {""category"": ""1"", ""label"": ""None or short demonstration"", ""value"": 13.04}]"
graphic_designer,lifestyle:graphic_designer,40_50,40,normal,moderate,medium,high,regional,low,medium,low,low,mixed,bls_ooh_2026;onet_30_2,"Most graphic designers work full time, but schedules can vary for self-employed workers. Creative lifestyle can feel flexible, but earnings are more modest and tooling is highly AI-exposed.",4.65,4.25,4.9,4.26,4.79,1.89,1.47,65.0,35.0,0.0,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 65.0}, {""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 15.0}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 10.0}, {""category"": ""4"", ""label"": ""Some College Courses"", ""value"": 5.0}]","[{""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 30.0}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 15.0}, {""category"": ""11"", ""label"": ""Over 10 years"", ""value"": 15.0}]","[{""category"": ""2"", ""label"": ""Anything beyond short demonstration, up to and including 1 month"", ""value"": 25.0}, {""category"": ""4"", ""label"": ""Over 3 months, up to and including 6 months"", ""value"": 25.0}, {""category"": ""3"", ""label"": ""Over 1 month, up to and including 3 months"", ""value"": 15.0}]"
web_digital_interface_designer,lifestyle:web_digital_interface_designer,40_50,43,normal,moderate,medium,high,regional,low,high,low,low,mixed,bls_ooh_2026;onet_30_2,"Most web developers and digital designers work full time. Combines design and tech with good upside, but interface work is being reshaped quickly by AI tooling.",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,[],[],[]
public_relations_specialist,lifestyle:public_relations_specialist,40_50,43,normal,moderate,medium,medium,major_hub_dependent,low,medium,low,low,mixed,bls_ooh_2026;onet_30_2,"Most public relations specialists work full time. Some work more than 40 hours per week. Good for communicators, but reputation work can mean urgency, client pressure, and more hub concentration than students expect.",4.55,4.43,4.95,4.82,3.9,2.32,1.91,68.18,31.82,0.0,"[{""category"": ""6"", ""label"": ""Bachelor's Degree"", ""value"": 90.91}, {""category"": ""8"", ""label"": ""Master's Degree"", ""value"": 9.09}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 0.0}, {""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 0.0}]","[{""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 31.82}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 22.73}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 22.73}]","[{""category"": ""3"", ""label"": ""Over 1 month, up to and including 3 months"", ""value"": 27.27}, {""category"": ""2"", ""label"": ""Anything beyond short demonstration, up to and including 1 month"", ""value"": 22.73}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 18.18}]"
electrician,lifestyle:electrician,40_50,42,normal,strong,medium,low,local_anywhere,high,low,medium,low,mixed,bls_ooh_2026;onet_30_2,"Work schedules may include evenings and weekends and may vary during bad weather. Strong local demand and low AI risk, with a clearer end-of-day cutoff than many office jobs.",4.32,4.76,3.95,4.93,1.81,4.55,4.23,67.49,32.51,0.0,"[{""category"": ""3"", ""label"": ""Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)"", ""value"": 61.71}, {""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 30.58}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 2.31}, {""category"": ""4"", ""label"": ""Some College Courses"", ""value"": 2.31}]","[{""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 27.96}, {""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 22.87}, {""category"": ""1"", ""label"": ""None"", ""value"": 22.19}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 10 years"", ""value"": 36.83}, {""category"": ""6"", ""label"": ""Over 1 year, up to and including 2 years"", ""value"": 22.23}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 19.23}]"
plumber,lifestyle:plumber,40_50,44,irregular,strong,medium,low,local_anywhere,high,low,high,low,mixed,bls_ooh_2026;onet_30_2,"Most plumbers, pipefitters, and steamfitters work full time, including nights and weekends, and they are often on call to handle emergencies. Great paid-training path with local durability, but emergency work can disrupt evenings and weekends.",4.27,4.11,3.42,4.54,1.36,4.69,3.86,61.48,38.52,0.0,"[{""category"": ""3"", ""label"": ""Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)"", ""value"": 43.26}, {""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 34.84}, {""category"": ""5"", ""label"": ""Associate's Degree (or other 2-year degree)"", ""value"": 9.34}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 7.94}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 56.87}, {""category"": ""1"", ""label"": ""None"", ""value"": 18.6}, {""category"": ""5"", ""label"": ""Over 6 months, up to and including 1 year"", ""value"": 10.52}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 10 years"", ""value"": 32.84}, {""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 23.84}, {""category"": ""1"", ""label"": ""None or short demonstration"", ""value"": 10.8}]"
hvac_technician,lifestyle:hvac_technician,40_50,43,irregular,moderate,medium,low,local_anywhere,high,low,medium,low,mixed,bls_ooh_2026;onet_30_2,"Work may include evening or weekend hours, especially during peak repair seasons. Strong practical route with decent pay and low AI exposure, but schedule control depends on service demand.",3.8,4.61,3.89,4.43,2.02,3.9,3.09,48.83,40.81,10.36,"[{""category"": ""3"", ""label"": ""Post-Secondary Certificate - awarded for training completed after high school (for example, in agriculture or natural resources, computer services, personal or culinary services, engineering technologies, healthcare, construction trades, mechanic and repair technologies, or precision production)"", ""value"": 68.08}, {""category"": ""1"", ""label"": ""Less than a High School Diploma"", ""value"": 20.23}, {""category"": ""4"", ""label"": ""Some College Courses"", ""value"": 6.93}, {""category"": ""2"", ""label"": ""High School Diploma - or the equivalent (for example, GED)"", ""value"": 3.26}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 6 years"", ""value"": 32.51}, {""category"": ""1"", ""label"": ""None"", ""value"": 16.64}, {""category"": ""11"", ""label"": ""Over 10 years"", ""value"": 16.54}]","[{""category"": ""8"", ""label"": ""Over 4 years, up to and including 10 years"", ""value"": 42.41}, {""category"": ""7"", ""label"": ""Over 2 years, up to and including 4 years"", ""value"": 35.11}, {""category"": ""1"", ""label"": ""None or short demonstration"", ""value"": 6.91}]"
